pop,white,black,asian,owner,renter,NAME,state,county,tract,block group,TRACT_x,BG_x,GEOID_BG,white_pct,black_pct,asian_pct,owner_pct,TRACT_extras,BG_extras,TRACT_y,BG_y,hisp_tot,hisp,units,vac_units,units_denom,u_20_49,u_50p,hisp_pct,vac_rate,u_20plus_pct
1194,270,849,20,388,43,Block Group 1; Census Tract 7501; Cook County; Illinois,17,031,750100,1,750100,1,170317501001,22.61,71.11,1.68,90.02,,,750100,1,1254,57,512,0,512,0,0,4.55,0.0,0.0
800,0,800,0,381,48,Block Group 2; Census Tract 7501; Cook County; Illinois,17,031,750100,2,750100,2,170317501002,0.0,100.0,0.0,88.81,,,750100,2,904,0,449,0,449,0,0,0.0,0.0,0.0
1002,0,1002,0,291,119,Block Group 3; Census Tract 7501; Cook County; Illinois,17,031,750100,3,750100,3,170317501003,0.0,100.0,0.0,70.98,,,750100,3,929,0,415,0,415,11,38,0.0,0.0,11.81
640,0,640,0,98,146,Block Group 4; Census Tract 7501; Cook County; Illinois,17,031,750100,4,750100,4,170317501004,0.0,100.0,0.0,40.16,,,750100,4,313,0,214,31,214,0,0,0.0,14.49,0.0
1020,34,977,0,186,194,Block Group 1; Census Tract 7502; Cook County; Illinois,17,031,750200,1,750200,1,170317502001,3.33,95.78,0.0,48.95,,,750200,1,999,0,350,0,350,15,0,0.0,0.0,4.29
549,133,416,0,143,143,Block Group 2; Census Tract 7502; Cook County; Illinois,17,031,750200,2,750200,2,170317502002,24.23,75.77,0.0,50.0,,,750200,2,724,21,370,0,370,0,33,2.9,0.0,8.92
679,503,71,0,217,0,Block Group 3; Census Tract 7502; Cook County; Illinois,17,031,750200,3,750200,3,170317502003,74.08,10.46,0.0,100.0,,,750200,3,498,163,204,40,204,0,0,32.73,19.61,0.0
893,274,453,128,358,195,Block Group 4; Census Tract 7502; Cook County; Illinois,17,031,750200,4,750200,4,170317502004,30.68,50.73,14.33,64.74,,,750200,4,1009,39,582,0,582,26,0,3.87,0.0,4.47
914,856,0,0,290,0,Block Group 1; Census Tract 7503; Cook County; Illinois,17,031,750300,1,750300,1,170317503001,93.65,0.0,0.0,100.0,,,750300,1,865,17,279,0,279,0,0,1.97,0.0,0.0
785,560,150,6,192,138,Block Group 2; Census Tract 7503; Cook County; Illinois,17,031,750300,2,750300,2,170317503002,71.34,19.11,0.76,58.18,,,750300,2,900,90,426,36,426,28,0,10.0,8.45,6.57
847,822,0,0,285,63,Block Group 3; Census Tract 7503; Cook County; Illinois,17,031,750300,3,750300,3,170317503003,97.05,0.0,0.0,81.9,,,750300,3,825,17,325,6,325,0,0,2.06,1.85,0.0
1486,1099,69,0,473,240,Block Group 1; Census Tract 7504; Cook County; Illinois,17,031,750400,1,750400,1,170317504001,73.96,4.64,0.0,66.34,,,750400,1,1426,118,665,0,665,25,0,8.27,0.0,3.76
642,93,513,27,234,13,Block Group 2; Census Tract 7504; Cook County; Illinois,17,031,750400,2,750400,2,170317504002,14.49,79.91,4.21,94.74,,,750400,2,884,139,291,0,291,0,0,15.72,0.0,0.0
662,514,91,16,287,0,Block Group 3; Census Tract 7504; Cook County; Illinois,17,031,750400,3,750400,3,170317504003,77.64,13.75,2.42,100.0,,,750400,3,726,73,344,19,344,0,0,10.06,5.52,0.0
1704,1196,485,14,314,360,Block Group 1; Census Tract 7505; Cook County; Illinois,17,031,750500,1,750500,1,170317505001,70.19,28.46,0.82,46.59,,,750500,1,1746,34,706,0,706,21,364,1.95,0.0,54.53
520,51,469,0,255,0,Block Group 2; Census Tract 7505; Cook County; Illinois,17,031,750500,2,750500,2,170317505002,9.81,90.19,0.0,100.0,,,750500,2,411,0,212,0,212,0,0,0.0,0.0,0.0
1624,0,1123,0,290,271,Block Group 3; Census Tract 7505; Cook County; Illinois,17,031,750500,3,750500,3,170317505003,0.0,69.15,0.0,51.69,,,750500,3,1992,7,720,136,720,18,43,0.35,18.89,8.47
913,0,913,0,362,89,Block Group 4; Census Tract 7505; Cook County; Illinois,17,031,750500,4,750500,4,170317505004,0.0,100.0,0.0,80.27,,,750500,4,1253,0,478,0,478,0,0,0.0,0.0,0.0
1274,0,1262,0,297,71,Block Group 1; Census Tract 7506; Cook County; Illinois,17,031,750600,1,750600,1,170317506001,0.0,99.06,0.0,80.71,,,750600,1,1394,0,486,68,486,0,0,0.0,13.99,0.0
879,0,863,0,192,122,Block Group 2; Census Tract 7506; Cook County; Illinois,17,031,750600,2,750600,2,170317506002,0.0,98.18,0.0,61.15,,,750600,2,653,21,248,0,248,0,0,3.22,0.0,0.0
1066,45,1005,0,237,104,Block Group 3; Census Tract 7506; Cook County; Illinois,17,031,750600,3,750600,3,170317506003,4.22,94.28,0.0,69.5,,,750600,3,950,20,365,66,365,0,0,2.11,18.08,0.0
625,2,478,0,215,63,Block Group 4; Census Tract 7506; Cook County; Illinois,17,031,750600,4,750600,4,170317506004,0.32,76.48,0.0,77.34,,,750600,4,663,158,308,39,308,0,0,23.83,12.66,0.0
