GEOID_BG_x,TRACT,BG,pop10,white10,black10,asian10,hisp10,white10_pct,black10_pct,asian10_pct,hisp10_pct,GEOID_BG_y,pop20,white20,black20,asian20,hisp20,white20_pct,black20_pct,asian20_pct,hisp20_pct,pop_chg,pop_chg_pct,white_chg,white_chg_pct,black_chg,black_chg_pct,asian_chg,asian_chg_pct,hisp_chg,hisp_chg_pct
170317501001,750100,1,1059,6,1038,0,9,0.57,98.02,0.0,0.85,170317501001,992,2,933,3,23,0.2,94.05,0.3,2.32,-67,-6.33,-4,-66.67,-105,-10.12,3,,14,155.56
170317501002,750100,2,853,2,832,0,8,0.23,97.54,0.0,0.94,170317501002,748,8,707,0,22,1.07,94.52,0.0,2.94,-105,-12.31,6,300.0,-125,-15.02,0,,14,175.0
170317501003,750100,3,861,5,827,0,14,0.58,96.05,0.0,1.63,170317501003,827,4,786,2,26,0.48,95.04,0.24,3.14,-34,-3.95,-1,-20.0,-41,-4.96,2,,12,85.71
170317501004,750100,4,1374,17,1324,10,8,1.24,96.36,0.73,0.58,170317501004,1169,4,1114,0,32,0.34,95.3,0.0,2.74,-205,-14.92,-13,-76.47,-210,-15.86,-10,-100.0,24,300.0
170317502001,750200,1,761,40,689,13,11,5.26,90.54,1.71,1.45,170317502001,688,39,619,0,14,5.67,89.97,0.0,2.03,-73,-9.59,-1,-2.5,-70,-10.16,-13,-100.0,3,27.27
170317502002,750200,2,878,146,669,11,37,16.63,76.2,1.25,4.21,170317502002,820,111,625,11,42,13.54,76.22,1.34,5.12,-58,-6.61,-35,-23.97,-44,-6.58,0,0.0,5,13.51
170317502003,750200,3,757,575,133,1,33,75.96,17.57,0.13,4.36,170317502003,678,489,119,5,45,72.12,17.55,0.74,6.64,-79,-10.44,-86,-14.96,-14,-10.53,4,400.0,12,36.36
170317502004,750200,4,831,445,318,9,36,53.55,38.27,1.08,4.33,170317502004,838,409,352,7,51,48.81,42.0,0.84,6.09,7,0.84,-36,-8.09,34,10.69,-2,-22.22,15,41.67
170317503001,750300,1,741,690,16,5,28,93.12,2.16,0.67,3.78,170317503001,745,679,18,3,46,91.14,2.42,0.4,6.17,4,0.54,-11,-1.59,2,12.5,-2,-40.0,18,64.29
170317503002,750300,2,918,688,178,3,41,74.95,19.39,0.33,4.47,170317503002,874,654,149,3,63,74.83,17.05,0.34,7.21,-44,-4.79,-34,-4.94,-29,-16.29,0,0.0,22,53.66
170317503003,750300,3,871,814,13,4,31,93.46,1.49,0.46,3.56,170317503003,851,776,14,1,52,91.19,1.65,0.12,6.11,-20,-2.3,-38,-4.67,1,7.69,-3,-75.0,21,67.74
170317504001,750400,1,1499,1282,100,7,94,85.52,6.67,0.47,6.27,170317504001,1479,1191,169,3,130,80.53,11.43,0.2,8.79,-20,-1.33,-91,-7.1,69,69.0,-4,-57.14,36,38.3
170317504002,750400,2,835,213,568,2,24,25.51,68.02,0.24,2.87,170317504002,786,156,550,7,60,19.85,69.97,0.89,7.63,-49,-5.87,-57,-26.76,-18,-3.17,5,250.0,36,150.0
170317504003,750400,3,675,427,200,6,34,63.26,29.63,0.89,5.04,170317504003,644,388,200,5,37,60.25,31.06,0.78,5.75,-31,-4.59,-39,-9.13,0,0.0,-1,-16.67,3,8.82
170317505001,750500,1,1860,876,865,10,71,47.1,46.51,0.54,3.82,170317505001,1831,838,859,15,84,45.77,46.91,0.82,4.59,-29,-1.56,-38,-4.34,-6,-0.69,5,50.0,13,18.31
170317505002,750500,2,718,161,511,2,34,22.42,71.17,0.28,4.74,170317505002,726,156,501,2,37,21.49,69.01,0.28,5.1,8,1.11,-5,-3.11,-10,-1.96,0,0.0,3,8.82
170317505003,750500,3,2016,40,1909,5,28,1.98,94.69,0.25,1.39,170317505003,1875,57,1728,4,66,3.04,92.16,0.21,3.52,-141,-6.99,17,42.5,-181,-9.48,-1,-20.0,38,135.71
170317505004,750500,4,1342,19,1284,1,24,1.42,95.68,0.07,1.79,170317505004,1186,13,1096,3,36,1.1,92.41,0.25,3.04,-156,-11.62,-6,-31.58,-188,-14.64,2,200.0,12,50.0
170317506001,750600,1,1154,2,1110,1,21,0.17,96.19,0.09,1.82,170317506001,1112,5,1056,0,26,0.45,94.96,0.0,2.34,-42,-3.64,3,150.0,-54,-4.86,-1,-100.0,5,23.81
170317506002,750600,2,822,6,803,0,6,0.73,97.69,0.0,0.73,170317506002,786,3,757,0,21,0.38,96.31,0.0,2.67,-36,-4.38,-3,-50.0,-46,-5.73,0,,15,250.0
170317506003,750600,3,845,1,817,0,15,0.12,96.69,0.0,1.78,170317506003,771,14,723,1,16,1.82,93.77,0.13,2.08,-74,-8.76,13,1300.0,-94,-11.51,1,,1,6.67
170317506004,750600,4,860,4,835,2,12,0.47,97.09,0.23,1.4,170317506004,751,7,700,0,35,0.93,93.21,0.0,4.66,-109,-12.67,3,75.0,-135,-16.17,-2,-100.0,23,191.67
