pop20,white20,black20,asian20,p2tot20,hisp20,NAME,state,county,tract,block group,TRACT,BG,GEOID_BG,white20_pct,black20_pct,asian20_pct,hisp20_pct
827,4,786,2,827,26,"Block Group 3, Census Tract 7501, Cook County, Illinois",17,031,750100,3,750100,3,170317501003,0.48,95.04,0.24,3.14
992,2,933,3,992,23,"Block Group 1, Census Tract 7501, Cook County, Illinois",17,031,750100,1,750100,1,170317501001,0.2,94.05,0.3,2.32
748,8,707,0,748,22,"Block Group 2, Census Tract 7501, Cook County, Illinois",17,031,750100,2,750100,2,170317501002,1.07,94.52,0.0,2.94
1169,4,1114,0,1169,32,"Block Group 4, Census Tract 7501, Cook County, Illinois",17,031,750100,4,750100,4,170317501004,0.34,95.3,0.0,2.74
820,111,625,11,820,42,"Block Group 2, Census Tract 7502, Cook County, Illinois",17,031,750200,2,750200,2,170317502002,13.54,76.22,1.34,5.12
838,409,352,7,838,51,"Block Group 4, Census Tract 7502, Cook County, Illinois",17,031,750200,4,750200,4,170317502004,48.81,42.0,0.84,6.09
688,39,619,0,688,14,"Block Group 1, Census Tract 7502, Cook County, Illinois",17,031,750200,1,750200,1,170317502001,5.67,89.97,0.0,2.03
678,489,119,5,678,45,"Block Group 3, Census Tract 7502, Cook County, Illinois",17,031,750200,3,750200,3,170317502003,72.12,17.55,0.74,6.64
745,679,18,3,745,46,"Block Group 1, Census Tract 7503, Cook County, Illinois",17,031,750300,1,750300,1,170317503001,91.14,2.42,0.4,6.17
874,654,149,3,874,63,"Block Group 2, Census Tract 7503, Cook County, Illinois",17,031,750300,2,750300,2,170317503002,74.83,17.05,0.34,7.21
851,776,14,1,851,52,"Block Group 3, Census Tract 7503, Cook County, Illinois",17,031,750300,3,750300,3,170317503003,91.19,1.65,0.12,6.11
1479,1191,169,3,1479,130,"Block Group 1, Census Tract 7504, Cook County, Illinois",17,031,750400,1,750400,1,170317504001,80.53,11.43,0.2,8.79
786,156,550,7,786,60,"Block Group 2, Census Tract 7504, Cook County, Illinois",17,031,750400,2,750400,2,170317504002,19.85,69.97,0.89,7.63
644,388,200,5,644,37,"Block Group 3, Census Tract 7504, Cook County, Illinois",17,031,750400,3,750400,3,170317504003,60.25,31.06,0.78,5.75
1831,838,859,15,1831,84,"Block Group 1, Census Tract 7505, Cook County, Illinois",17,031,750500,1,750500,1,170317505001,45.77,46.91,0.82,4.59
726,156,501,2,726,37,"Block Group 2, Census Tract 7505, Cook County, Illinois",17,031,750500,2,750500,2,170317505002,21.49,69.01,0.28,5.1
1875,57,1728,4,1875,66,"Block Group 3, Census Tract 7505, Cook County, Illinois",17,031,750500,3,750500,3,170317505003,3.04,92.16,0.21,3.52
1186,13,1096,3,1186,36,"Block Group 4, Census Tract 7505, Cook County, Illinois",17,031,750500,4,750500,4,170317505004,1.1,92.41,0.25,3.04
1112,5,1056,0,1112,26,"Block Group 1, Census Tract 7506, Cook County, Illinois",17,031,750600,1,750600,1,170317506001,0.45,94.96,0.0,2.34
786,3,757,0,786,21,"Block Group 2, Census Tract 7506, Cook County, Illinois",17,031,750600,2,750600,2,170317506002,0.38,96.31,0.0,2.67
771,14,723,1,771,16,"Block Group 3, Census Tract 7506, Cook County, Illinois",17,031,750600,3,750600,3,170317506003,1.82,93.77,0.13,2.08
751,7,700,0,751,35,"Block Group 4, Census Tract 7506, Cook County, Illinois",17,031,750600,4,750600,4,170317506004,0.93,93.21,0.0,4.66
