pop,white,black,asian,owner,renter,NAME,state,county,tract,block group,TRACT_x,BG_x,GEOID_BG,white_pct,black_pct,asian_pct,owner_pct,TRACT_extras,BG_extras,TRACT_y,BG_y,hisp_tot,hisp,units,vac_units,units_denom,u_20_49,u_50p,hisp_pct,vac_rate,u_20plus_pct,area_km2,nodes_in_bg,edges_km,node_density,edge_km_density,betweenness_mean,betweenness_p90,aspl_mean
1194,270,849,20,388,43,Block Group 1; Census Tract 7501; Cook County; Illinois,17,31,750100,1,750100,1,170317501001,22.61,71.11,1.68,90.02,,,750100,1,1254,57,512,0,512,0,0,4.55,0.0,0.0,0.5892035522107162,35.0,13.280923592444758,59.402221640854926,22.54046762381893,0.0205127723474644,0.0545349071051776,2780.2413135453685
800,0,800,0,381,48,Block Group 2; Census Tract 7501; Cook County; Illinois,17,31,750100,2,750100,2,170317501002,0.0,100.0,0.0,88.81,,,750100,2,904,0,449,0,449,0,0,0.0,0.0,0.0,0.4106033294562053,14.0,7.882252270872652,34.09616775037191,19.196756834173133,0.0150193038247429,0.0366431786891078,2776.9232686321016
1002,0,1002,0,291,119,Block Group 3; Census Tract 7501; Cook County; Illinois,17,31,750100,3,750100,3,170317501003,0.0,100.0,0.0,70.98,,,750100,3,929,0,415,0,415,11,38,0.0,0.0,11.81,0.6666860065025562,39.0,13.2500956258585,58.49830297863087,19.874566882494925,0.0371871823034361,0.0681357610259424,2195.8440033143493
640,0,640,0,98,146,Block Group 4; Census Tract 7501; Cook County; Illinois,17,31,750100,4,750100,4,170317501004,0.0,100.0,0.0,40.16,,,750100,4,313,0,214,31,214,0,0,0.0,14.49,0.0,0.6410248498941286,20.0,14.58264615930012,31.200038506000496,22.7489560844772,0.0789286929752641,0.1762820413656546,2104.713519735345
1020,34,977,0,186,194,Block Group 1; Census Tract 7502; Cook County; Illinois,17,31,750200,1,750200,1,170317502001,3.33,95.78,0.0,48.95,,,750200,1,999,0,350,0,350,15,0,0.0,0.0,4.29,0.5187834821451253,14.0,5.626946302497332,26.986210012144564,10.846425331875238,0.0292060128043915,0.0648121219621614,1822.1746938593883
549,133,416,0,143,143,Block Group 2; Census Tract 7502; Cook County; Illinois,17,31,750200,2,750200,2,170317502002,24.23,75.77,0.0,50.0,,,750200,2,724,21,370,0,370,0,33,2.9,0.0,8.92,0.6531624759959732,22.0,8.638280091381771,33.68227785353614,13.225315918845018,0.0413747955554493,0.0719111117986479,1704.235920436036
679,503,71,0,217,0,Block Group 3; Census Tract 7502; Cook County; Illinois,17,31,750200,3,750200,3,170317502003,74.08,10.46,0.0,100.0,,,750200,3,498,163,204,40,204,0,0,32.73,19.61,0.0,0.6455127021692334,18.0,7.923634338603254,27.88481146770828,12.274947203945064,0.0141561688384236,0.0241387311851244,2048.646369228121
893,274,453,128,358,195,Block Group 4; Census Tract 7502; Cook County; Illinois,17,31,750200,4,750200,4,170317502004,30.68,50.73,14.33,64.74,,,750200,4,1009,39,582,0,582,26,0,3.87,0.0,4.47,0.5360105604469744,13.0,9.267647496994142,24.253253497765822,17.29004646711799,0.064945160342187,0.1095609733459152,1753.0393274212972
914,856,0,0,290,0,Block Group 1; Census Tract 7503; Cook County; Illinois,17,31,750300,1,750300,1,170317503001,93.65,0.0,0.0,100.0,,,750300,1,865,17,279,0,279,0,0,1.97,0.0,0.0,0.3726355078416956,9.0,5.167467789654246,24.15228771978277,13.867352093159916,0.0198393054502764,0.0395595810837987,2390.033728877517
785,560,150,6,192,138,Block Group 2; Census Tract 7503; Cook County; Illinois,17,31,750300,2,750300,2,170317503002,71.34,19.11,0.76,58.18,,,750300,2,900,90,426,36,426,28,0,10.0,8.45,6.57,0.3725547549662078,16.0,7.219263981961103,42.94670726038985,19.377726054297494,0.0226005716009467,0.0548802654579768,2112.0588159258564
847,822,0,0,285,63,Block Group 3; Census Tract 7503; Cook County; Illinois,17,31,750300,3,750300,3,170317503003,97.05,0.0,0.0,81.9,,,750300,3,825,17,325,6,325,0,0,2.06,1.85,0.0,0.4426623421937781,13.0,7.364989923516706,29.36775677726201,16.637940980063394,0.0081834073294865,0.0202032702690159,2578.627962692415
