x,y
-87.6619608,41.6852307
-87.6582789,41.6963611
-87.6786965,41.6898631
-87.6784566,41.6895452
-87.6740052,41.6948831
-87.6731142,41.6943972
-87.655142,41.6994906
-87.6561115,41.6985751
-87.6746679,41.6898651
-87.6744655,41.6895936
-87.6736974,41.6903685
-87.6733312,41.6901977
-87.6608062,41.6921384
-87.6726521,41.6906248
-87.6721901,41.6903981
-87.653184,41.6875813
-87.6531264,41.685839
-87.6579911,41.6976337
-87.6641481,41.6859103
-87.6647878,41.684762
-87.6624704,41.6893835
-87.6627946,41.6884717
-87.6631187,41.6875819
-87.6634494,41.686687
-87.6637619,41.6857901
-87.6660974,41.6875383
-87.6614231,41.6793704
-87.6693972,41.679401
-87.6705429,41.6797627
-87.6716556,41.6801201
-87.6723687,41.6790813
-87.6730153,41.6791262
-87.6749525,41.6792623
-87.6777151,41.6790335
-87.6787239,41.6793415
-87.6789758,41.6793081
-87.6807579,41.6789254
-87.6819949,41.679093
-87.6832223,41.6790745
-87.6844441,41.6790561
-87.677822,41.6796945
-87.6749711,41.6791638
-87.6778882,41.6793864
-87.6522167,41.6958836
-87.6546578,41.6958547
-87.6570991,41.6958259
-87.6582286,41.6958125
-87.6607725,41.6957769
-87.6619422,41.6957585
-87.6741883,41.6955257
-87.6761814,41.6954937
-87.6790826,41.6954296
-87.6812695,41.6954256
-87.6825538,41.69544
-87.6837688,41.695426
-87.6849885,41.695412
-87.6860462,41.6953998
-87.6863538,41.6953963
-87.6874301,41.6953839
-87.6886679,41.6953696
-87.6898923,41.6953555
-87.6910747,41.6953419
-87.6473592,41.6959429
-87.6499953,41.6959027
-87.6425479,41.6959992
-87.643711,41.695982
-87.6449265,41.6959641
-87.6461346,41.6959463
-87.6650401,41.6774943
-87.6487256,41.6913723
-87.6496501,41.6913629
-87.6520746,41.6913342
-87.6545162,41.6913054
-87.6569557,41.6912765
-87.6774486,41.690853
-87.6811259,41.690795
-87.6601611,41.6903709
-87.6601281,41.6892974
-87.6600725,41.6874917
-87.660019,41.6857531
-87.659991,41.6848435
-87.6591776,41.6848541
-87.6590175,41.6939553
-87.6845333,41.6817743
-87.6772944,41.6818345
-87.6777831,41.6820379
-87.6790639,41.6819134
-87.6807622,41.681545
-87.677374,41.6823988
-87.6744065,41.6818802
-87.6773156,41.6820994
-87.6743038,41.6979585
-87.6777055,41.6978785
-87.6813435,41.697811
-87.6474367,41.6986762
-87.6498751,41.698646
-87.6513704,41.6986274
-87.6519541,41.6986202
-87.6571039,41.6985514
-87.6547278,41.6985231
-87.6668416,41.6980712
-87.6689416,41.6980248
-87.665138,41.6892225
-87.6570712,41.6969695
-87.6570608,41.6967353
-87.6570703,41.6949094
-87.6570417,41.6940043
-87.6570127,41.6930833
-87.6569844,41.692185
-87.6569278,41.6903916
-87.6568946,41.6893379
-87.6568377,41.6875337
-87.6567827,41.6857908
-87.6571495,41.6994673
-87.6547752,41.6994949
-87.6547134,41.6976762
-87.6546853,41.6967603
-87.65463,41.6949409
-87.6546022,41.6940319
-87.6545742,41.6931141
-87.6545468,41.6922138
-87.6544856,41.6903955
-87.654451,41.6893688
-87.6544053,41.6875661
-87.6543423,41.6858229
-87.6452564,41.6985363
-87.6449492,41.6987686
-87.678786,41.6861314
-87.6809802,41.6860941
-87.6422647,41.6868983
-87.6809886,41.6863659
-87.6822518,41.6863492
-87.6834526,41.6863333
-87.6846816,41.686296
-87.6860815,41.6862914
-87.6871229,41.6862843
-87.688359,41.6862624
-87.6895791,41.6862433
-87.6470359,41.6859192
-87.6458997,41.6857956
-87.6462485,41.6996
-87.6462253,41.6986813
-87.6461975,41.6977704
-87.6461079,41.6950597
-87.6458534,41.693395
-87.6448403,41.6932284
-87.6460398,41.6927723
-87.6460293,41.6923142
-87.6459593,41.6904916
-87.6483741,41.689445
-87.6483182,41.6876445
-87.6482642,41.685903
-87.6874905,41.69721
-87.6873692,41.6935577
-87.6873109,41.6917292
-87.6872558,41.689916
-87.6871941,41.6880989
-87.6729231,41.6969138
-87.6660378,41.6928081
-87.6676486,41.6927231
-87.6688941,41.6932314
-87.6701429,41.6935315
-87.6619595,41.6904701
-87.6627014,41.6907688
-87.6639194,41.6912593
-87.6769067,41.6772629
-87.6461432,41.6931648
-87.6619694,41.6966849
-87.6619587,41.6963197
-87.6618951,41.6941474
-87.6618944,41.693934
-87.661857,41.6925106
-87.6618381,41.69212
-87.6633679,41.68967
-87.6612013,41.6874771
-87.6615364,41.6857336
-87.6616094,41.6848224
-87.6615409,41.6830043
-87.6614831,41.6811821
-87.6752351,41.6772949
-87.6770064,41.6844466
-87.6774246,41.6841688
-87.6438226,41.6996282
-87.6437715,41.6978049
-87.6436521,41.6941633
-87.6435932,41.6923429
-87.6435343,41.6905229
-87.6434756,41.6887078
-87.6434203,41.6870003
-87.6482956,41.6904639
-87.6496217,41.6904531
-87.6520458,41.6904244
-87.6585427,41.690391
-87.6603925,41.6903698
-87.6423768,41.6905378
-87.6447581,41.6905071
-87.6739739,41.6899474
-87.6770163,41.6901118
-87.6771087,41.6900038
-87.6773095,41.6900876
-87.6779706,41.6898811
-87.6810958,41.6898222
-87.6823886,41.6898079
-87.6835971,41.6897948
-87.6848148,41.6897816
-87.6854006,41.6897727
-87.6861789,41.68993
-87.6884797,41.6899001
-87.6897083,41.6898842
-87.6646511,41.6900766
-87.6659436,41.6904909
-87.667239,41.6909006
-87.6685188,41.6913124
-87.6698036,41.691724
-87.6704768,41.6919263
-87.6661868,41.6948237
-87.6694934,41.6896154
-87.6856119,41.6772283
-87.6721948,41.6809074
-87.6727956,41.6809485
-87.6745811,41.6810802
-87.6683431,41.6812359
-87.6694857,41.6815955
-87.6706182,41.6819546
-87.671151,41.6821207
-87.6807494,41.6809225
-87.6820527,41.6809047
-87.6832798,41.6808862
-87.6845036,41.6808677
-87.685567,41.6808518
-87.681327,41.6972798
-87.6826119,41.6972674
